,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,26.0,6.0,0.6249999804687506,0.022695035444897135,27.91,3.43,12.536000000000001,27.91,89.0,4.33,553.0,1088.0,4.33
1,blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,46.0,25.0,0.2957746437214839,0.04248952720377646,29.7,5.02,13.888,29.7,146.0,4.69,801.0,1329.0,4.69
2,blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,33.0,19.0,0.2692307640532545,0.0357880247516944,33.51,4.87,15.351999999999999,33.51,119.0,5.0,622.0,1170.0,5.0
3,blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,32.0,63.0,-0.3263157860387812,0.06601806805697145,34.93,5.98,16.364,34.93,144.0,4.91,669.0,1113.0,4.91
4,blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,23.0,9.0,0.4374999863281255,0.027164685885259176,33.86,5.14,15.600000000000001,33.86,101.0,4.78,575.0,884.0,4.78
5,blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,66.0,22.0,0.4999999943181819,0.04480651728879505,30.94,5.09,14.412,30.94,170.0,5.02,861.0,1531.0,5.02
6,blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,30.0,36.0,-0.09090908953168046,0.04228058933870558,29.02,4.94,13.584000000000001,29.02,132.0,4.67,760.0,1181.0,4.67
7,blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,29.0,9.0,0.5263157756232691,0.029710711470124537,31.58,5.1,14.672,31.58,108.0,4.96,576.0,1068.0,4.96
8,blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,30.0,38.0,-0.11764705709342564,0.04792107114311411,29.87,4.76,13.852000000000002,29.87,111.0,4.96,610.0,1139.0,4.96
9,blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,50.0,63.0,-0.11504424676951994,0.04073540012951139,20.75,3.02,9.508000000000001,20.75,162.0,4.71,880.0,2348.0,4.71
10,blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,49.0,16.0,0.507692299881657,0.039039039015592164,32.52,4.6,14.848000000000003,32.52,130.0,4.96,695.0,1358.0,4.96
11,blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,42.0,18.0,0.39999999333333347,0.03363228697666351,31.38,3.54,13.968000000000002,31.38,109.0,4.9,599.0,1420.0,4.9
12,blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,26.0,13.0,0.33333332478632505,0.03526220611639945,45.88,5.05,20.372,45.88,95.0,4.76,472.0,830.0,4.76
13,blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,19.0,24.0,-0.11627906706327752,0.029634734645324096,29.08,4.56,13.456000000000001,29.08,114.0,4.64,663.0,1098.0,4.64
14,blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,37.0,26.0,0.17460317183169569,0.04123036646516337,33.4,4.98,15.351999999999999,33.4,128.0,4.79,760.0,1143.0,4.79
15,blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,37.0,26.0,0.17460317183169569,0.04131147538274657,32.58,4.93,15.004,32.58,127.0,4.77,757.0,1143.0,4.77
16,blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,38.0,10.0,0.5833333211805558,0.03271983637851408,30.81,4.85,14.264,30.81,121.0,4.78,682.0,1129.0,4.78
17,blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,31.0,10.0,0.5121951094586559,0.028671328651278787,40.43,5.23,18.264,40.43,127.0,4.74,697.0,1062.0,4.74
18,blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,49.0,7.0,0.7499999866071432,0.03211009172470752,27.31,3.98,12.516,27.31,125.0,4.71,782.0,1369.0,4.71
19,blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,12.0,1.0,0.8461537810650938,0.012003693433052914,40.48,3.65,17.651999999999997,40.48,68.0,4.62,427.0,754.0,4.62
20,blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,27.0,34.0,-0.11475409647944104,0.043948126769489816,34.57,5.15,15.888,34.57,121.0,4.81,691.0,1062.0,4.81
21,blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,20.0,9.0,0.37931033174791956,0.02944162433559226,36.3,4.61,16.364,36.3,77.0,4.65,479.0,734.0,4.65
22,blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,32.0,15.0,0.3617021199637847,0.030303030283492564,33.66,4.35,15.204,33.66,120.0,4.57,728.0,1221.0,4.57
23,blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,25.0,4.0,0.7241379060642101,0.02600896858653904,47.82,5.36,21.272000000000002,47.82,100.0,4.61,565.0,815.0,4.61
24,blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,22.0,10.0,0.3749999882812504,0.02264685065630088,44.02,3.68,19.080000000000002,44.02,89.0,4.32,672.0,1014.0,4.32
25,blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,30.0,17.0,0.2765957387958354,0.03520599248299176,35.63,4.77,16.160000000000004,35.63,107.0,4.55,675.0,965.0,4.55
26,blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,28.0,18.0,0.21739129962192827,0.030789825949939873,36.57,4.21,16.312,36.57,114.0,4.33,713.0,1092.0,4.33
27,blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,27.0,23.0,0.07999999840000004,0.03469812627710053,40.16,4.98,18.056,40.16,124.0,4.6,713.0,1014.0,4.6
28,blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,51.0,25.0,0.34210525865650976,0.03867684476403214,34.88,5.03,15.964000000000002,34.88,165.0,4.89,898.0,1515.0,4.89
29,blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,44.0,30.0,0.18918918663257855,0.048083170858945305,27.73,3.92,12.66,27.73,112.0,4.37,727.0,1154.0,4.37
30,blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,55.0,25.0,0.37499999531250006,0.04491858503934947,29.67,4.96,13.852000000000002,29.67,156.0,4.73,824.0,1434.0,4.73
31,blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,44.0,20.0,0.3749999941406251,0.03786982246279892,26.89,3.69,12.232000000000001,26.89,112.0,4.45,771.0,1239.0,4.45
32,blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,43.0,25.0,0.26470587846020766,0.0379252648979781,32.6,4.23,14.732,32.6,135.0,4.51,890.0,1322.0,4.51
